sample_id,y
GSM230387.cel,1
GSM230388.cel,1
GSM230389.cel,1
GSM230390.cel,1
GSM230391.cel,1
GSM230392.cel,1
GSM230393.cel,1
GSM230394.cel,1
GSM230395.cel,1
GSM230396.cel,1
GSM230397.cel,0
GSM230398.cel,0
GSM230399.cel,0
GSM230400.cel,0
GSM230401.cel,0
GSM230402.cel,0
GSM230403.cel,0
GSM230404.cel,0
GSM230405.cel,0
GSM230406.cel,0
GSM230407.cel,1
GSM230408.cel,1
GSM230409.cel,1
GSM230410.cel,1
GSM230411.cel,1
GSM230412.cel,1
GSM230413.cel,1
GSM230414.cel,1
GSM230415.cel,1
GSM230416.cel,1
GSM230417.cel,0
GSM230418.cel,0
GSM230419.cel,0
GSM230420.cel,0
GSM230421.cel,0
GSM230422.cel,0
GSM230423.cel,0
GSM230424.cel,0
GSM230425.cel,0
GSM230426.cel,0
