SYMBOL,Top1000_candidate,Top3000_candidate,Top1000_KEGG_core,Top3000_KEGG_core,support_count,support_sources
BIRC5,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
CASP3,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
E2F1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
EFNA1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
EGF,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
ERBB2,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
FLT1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
GADD45G,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
IGFBP3,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
ITGA5,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
MAPK8,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
MDM2,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
MECOM,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
MKNK2,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
NRG1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
PPP3CA,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
PRKCA,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
RAF1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
RHOA,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
RPS6KB1,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
STK11,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
TNFRSF1A,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
TNFSF10,1,1,1,1,4,Top1000_candidate;Top3000_candidate;Top1000_KEGG_core;Top3000_KEGG_core
ACTB,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
ADGRE5,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ADRM1,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
AHCYL1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
AMOTL1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
APELA,1,1,0,0,2,Top1000_candidate;Top3000_candidate
APIP,1,1,0,0,2,Top1000_candidate;Top3000_candidate
AQP1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ARHGAP35,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
ATF4,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
ATP5F1B,1,1,0,0,2,Top1000_candidate;Top3000_candidate
AVEN,1,1,0,0,2,Top1000_candidate;Top3000_candidate
BAD,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
BIRC3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
BIRC7,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
BST2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
C3orf38,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CADM1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CALM1,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
CALM2,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
CAPN3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CASQ1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CAV3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
CD38,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CDH5,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CDK11A,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CDK11B,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CFD,1,1,0,0,2,Top1000_candidate;Top3000_candidate
COL6A3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
CTSC,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
CTSS,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
CUL1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CX3CR1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
CYCS,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
DLL4,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ECSCR,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ECSIT,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
ENDOG,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
ENG,1,1,0,0,2,Top1000_candidate;Top3000_candidate
EPAS1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
EPHA2,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
FOXC1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
FXR1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
G0S2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
G3BP1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
GJC1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
GULP1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
HEXIM1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
HEY1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
HINT2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
HIP1R,1,1,0,0,2,Top1000_candidate;Top3000_candidate
HLA-E,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
HRAS,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
HSPB1,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
HYAL1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ID1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
IFITM1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
IFNA5,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
IL20RA,1,1,0,0,2,Top1000_candidate;Top3000_candidate
ITGA6,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
ITGA7,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
ITPR1,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
JUND,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
KIF1B,1,1,0,0,2,Top1000_candidate;Top3000_candidate
KREMEN1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
LAMB2,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
LGALS1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
LMNA,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MAP3K20,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
MAP3K5,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MAPK8IP3,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
MAPKAPK5,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MIEN1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MMP2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MRPL41,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MSTN,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MTOR,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MX1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MYC,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MYH14,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MYL11,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MYL3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
MYLK,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
MYOZ1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
NID1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
NOD1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
OAS1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
OAS2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
OAS3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PARVA,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PDCL3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PDGFA,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PDGFRA,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PDLIM3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PDLIM5,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PDLIM7,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PDPN,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PEA15,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PIK3CD,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PIK3R1,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
PKNOX1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
POPDC3,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PPIF,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PPL,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PPP2R2B,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PPP3CB,1,0,1,0,2,Top1000_candidate;Top1000_KEGG_core
PRUNE2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PSMA3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMA4,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMA6,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMB5,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMC1,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMC2,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMC3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMC6,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD11,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD2,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD3,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD4,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD6,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSMD7,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
PSPC1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
PTPRB,1,1,0,0,2,Top1000_candidate;Top3000_candidate
RABEP1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
RAMP2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
RNF41,1,1,0,0,2,Top1000_candidate;Top3000_candidate
RRAGA,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SAMHD1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SAT1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SEC14L1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SETD2,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SFN,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SGK1,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
SH3KBP1,1,1,0,0,2,Top1000_candidate;Top3000_candidate
SIRT1,0,1,0,1,2,Top3000_candidate;Top3000_KEGG_core
SKI,1,1,0,0,2,Top1000_candidate;Top3000_candidate
